Rk,Player,Nation,"Pos
▲",Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
76,Alex Telles,brBRA,DF,Botafogo (RJ),32,1992,18.8,3,0,0,21,10,1,128,17,15,0,0,0,67,12,9,57.1,Matches
77,Igor Vinícius de Souza,brBRA,DF,Santos,27,1997,14.5,4,0,0,27,19,0,52,14,31,0,0,0,62,9,21,30.0,Matches
78,Igor Vinícius de Souza,brBRA,DF,São Paulo,27,1997,1.8,1,0,0,2,2,0,11,1,1,0,0,0,6,2,4,33.3,Matches
79,Fabiano Souza,brBRA,DF,Ceará,24,2000,32.3,8,0,0,47,43,0,62,29,36,0,0,0,154,21,33,38.9,Matches
80,Souza,brBRA,DF,Santos,18,2006,18.2,4,0,0,22,21,1,77,24,30,1,1,0,74,15,17,46.9,Matches
81,Thiago Silva,brBRA,DF,Fluminense,40,1984,24.0,1,0,0,11,9,0,4,20,4,0,0,0,74,42,27,60.9,Matches
82,João Silva,ptPOR,DF,Sport Recife,26,1999,11.0,1,0,0,11,3,0,2,8,6,0,0,0,22,24,20,54.5,Matches
83,Aderlan Silva,brBRA,DF,Sport Recife,34,1990,10.2,5,0,0,16,11,1,28,14,7,0,1,0,27,7,8,46.7,Matches
84,Aderlan Silva,brBRA,DF,Santos,34,1990,1.0,0,0,0,1,2,1,2,1,0,0,0,0,3,0,2,0.0,Matches
85,Igor Serrote,brBRA,DF,Grêmio,19,2005,5.7,2,0,0,7,10,0,8,14,17,0,0,0,21,17,9,65.4,Matches
86,Davi Schuindt,brBRA,DF,Fluminense,20,2004,2.0,0,0,0,1,2,0,0,2,2,0,0,0,3,2,5,28.6,Matches
87,Renzo Saravia,arARG,DF,Atlético Mineiro,31,1993,11.8,2,0,0,22,12,1,11,7,23,0,0,0,54,10,19,34.5,Matches
88,Eduardo Santos,brBRA,DF,RB Bragantino,27,1997,3.5,0,0,0,2,2,0,0,8,5,0,0,0,19,8,3,72.7,Matches
89,Agustín Sant'Anna,uyURU,DF,RB Bragantino,27,1997,5.8,3,0,0,11,2,2,29,10,9,0,0,0,19,11,8,57.9,Matches
90,Alex Sandro,brBRA,DF,Flamengo,34,1991,17.2,4,0,0,44,16,1,30,18,7,0,0,0,69,19,15,55.9,Matches
91,Rodrigo Sam,brBRA,DF,Juventude,29,1995,16.2,8,0,0,32,21,5,1,27,19,1,0,0,59,45,16,73.8,Matches
92,Daniel Sales,brBRA,DF,Flamengo,18,2006,0.8,0,0,0,0,0,0,2,1,1,0,0,0,7,2,1,66.7,Matches
93,José Sabino,brBRA,DF,São Paulo,28,1996,25.5,3,0,0,36,16,0,8,49,23,0,1,0,110,61,45,57.5,Matches
94,Alan Ruschel,brBRA,DF,Juventude,35,1989,13.7,6,0,0,18,29,3,38,15,11,0,1,0,39,14,13,51.9,Matches
95,Ruan,brBRA,DF,São Paulo,25,1999,4.0,1,0,0,5,2,0,0,7,4,0,0,0,9,14,10,58.3,Matches
96,Ruan,brBRA,DF,Atlético Mineiro,25,1999,9.0,4,0,0,12,8,0,0,14,6,0,2,0,20,25,15,62.5,Matches
97,Iván Román,clCHI,DF,Atlético Mineiro,18,2006,7.8,4,0,0,8,9,2,1,10,6,0,0,0,18,15,12,55.6,Matches
98,Agustín Rogel,uyURU,DF,Internacional,27,1997,5.0,0,0,0,6,1,0,0,1,6,0,0,0,11,10,6,62.5,Matches
99,Guzmán Rodríguez,uyURU,DF,RB Bragantino,24,2000,22.8,5,0,0,20,12,1,4,13,15,0,0,0,79,40,26,60.6,Matches
100,Marcos Rocha,brBRA,DF,Grêmio,36,1988,10.7,1,0,0,7,15,1,29,18,29,0,0,0,55,9,14,39.1,Matches
101,Marcos Rocha,brBRA,DF,Palmeiras,36,1988,1.0,0,0,0,2,1,0,6,2,0,0,0,0,4,1,0,100.0,Matches
102,Paulo Roberto,brBRA,DF,Vitória,19,2005,1.1,0,0,0,7,0,0,5,2,3,0,0,0,4,0,2,0.0,Matches
103,Riquelme,brBRA,DF,Sport Recife,18,2007,0.3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0,Matches
104,Renê,brBRA,DF,Fluminense,32,1992,26.2,3,0,0,22,29,0,85,44,36,0,1,0,115,48,29,62.3,Matches
105,Robert Renan,brBRA,DF,Vasco da Gama,21,2003,14.3,2,0,0,17,6,0,15,18,10,0,0,0,48,35,11,76.1,Matches
106,Reinaldo,brBRA,DF,Mirassol,35,1989,32.1,6,0,0,26,32,1,210,17,31,1,2,0,127,10,20,33.3,Matches
107,Reginaldo,brBRA,DF,Juventude,31,1993,13.0,1,0,0,7,11,2,58,10,9,0,0,0,43,6,8,42.9,Matches
108,Santi Ramos Mingo,arARG,DF,Bahia,23,2001,32.5,9,1,1,32,24,2,3,26,17,0,0,0,76,85,56,60.3,Matches
109,Lucas Ramon,brBRA,DF,Mirassol,30,1994,28.9,7,0,0,30,53,5,110,52,42,1,0,0,96,43,44,49.4,Matches
110,Ramon,brBRA,DF,Internacional,23,2001,3.7,1,0,0,5,3,0,10,5,4,0,0,0,23,8,3,72.7,Matches
111,Ramon,brBRA,DF,Vitória,23,2001,18.0,4,0,0,34,17,3,64,15,25,1,1,0,63,19,15,55.9,Matches
112,André Ramalho,brBRA,DF,Corinthians,32,1992,19.8,4,0,0,19,10,0,4,17,16,0,1,0,63,43,23,65.2,Matches
113,Rafinha,brBRA,DF,Sport Recife,18,2006,0.5,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0.0,Matches
114,Igor Rabello,brBRA,DF,Fluminense,29,1995,1.6,2,1,1,5,0,0,0,2,1,0,0,0,4,6,2,75.0,Matches
115,Igor Rabello,brBRA,DF,Atlético Mineiro,29,1995,2.1,0,0,0,4,0,0,0,2,2,0,0,0,4,6,4,60.0,Matches
116,Kauã Prates,brBRA,DF,Cruzeiro,16,2008,3.8,1,0,0,5,1,1,11,1,9,0,0,0,12,3,4,42.9,Matches
117,Mateo Ponte,uyURU,DF,Botafogo (RJ),21,2003,7.5,3,0,0,13,7,2,29,10,11,0,0,0,41,8,10,44.4,Matches
118,Lucas Piton,brBRA,DF,Vasco da Gama,24,2000,28.3,5,0,0,46,12,3,138,36,26,0,1,0,89,25,30,45.5,Matches
119,Joaquín Piquerez,uyURU,DF,Palmeiras,26,1998,27.3,2,2,0,12,18,0,125,25,30,0,0,1,139,18,13,58.1,Matches
120,Luan Peres Petroni,brBRA,DF,Santos,30,1994,22.8,6,0,0,27,13,1,7,21,17,0,0,0,67,50,31,61.7,Matches
121,Léo Pereira,brBRA,DF,Flamengo,29,1996,32.8,6,0,0,23,13,0,14,22,15,0,2,0,128,51,43,54.3,Matches
122,João Pedro,brBRA,DF,Grêmio,28,1996,5.0,0,0,0,7,1,1,8,1,6,0,1,0,20,4,0,100.0,Matches
123,João Pedro,brBRA,DF,Corinthians,21,2003,13.8,4,0,0,18,5,0,1,12,13,0,0,0,42,16,16,50.0,Matches
124,João Pedro Chermont,brBRA,DF,Santos,19,2006,2.8,3,0,0,9,1,2,12,3,8,0,0,0,9,5,2,71.4,Matches
125,Marcos Paulo,brBRA,DF,Juventude,22,2003,15.2,8,1,1,27,4,1,0,9,17,0,2,1,53,37,12,75.5,Matches
126,Patryck,brBRA,DF,São Paulo,22,2003,3.4,1,0,0,4,3,0,19,2,3,0,0,0,7,2,3,40.0,Matches
127,Kaio Pantaleão,brBRA,DF,Botafogo (RJ),29,1995,10.4,2,1,1,12,10,1,1,15,8,0,0,0,53,29,17,63.0,Matches
128,Sergio Palacios,coCOL,DF,RB Bragantino,19,2005,0.8,2,0,0,3,1,0,0,0,0,0,0,0,1,0,1,0.0,Matches
129,Bruno Pacheco,brBRA,DF,Fortaleza,33,1991,14.0,5,0,0,16,27,1,18,11,17,0,0,1,47,25,22,53.2,Matches
130,Pablo,brBRA,DF,Internacional,18,2006,0.2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,,Matches
131,João Othavio Basso,brBRA,DF,Santos,28,1997,5.8,2,0,0,10,6,0,0,5,4,0,0,0,14,15,4,78.9,Matches
132,Luiz Otávio,brBRA,DF,Mirassol,32,1992,1.8,1,0,0,3,0,0,0,2,0,0,0,0,6,12,2,85.7,Matches
133,Leo Ortiz,brBRA,DF,Flamengo,29,1996,24.5,4,0,0,19,5,1,5,16,18,0,0,0,96,57,29,66.3,Matches
134,Lucas Oliveira,brBRA,DF,Vasco da Gama,28,1996,2.9,1,0,0,3,1,0,0,10,4,0,0,0,11,10,1,90.9,Matches
135,Nicolas,brBRA,DF,São Paulo,17,2007,0.5,0,0,0,1,2,0,0,2,2,0,0,0,3,0,1,0.0,Matches
136,Nicolas,brBRA,DF,Ceará,27,1997,6.6,1,0,0,10,9,0,43,8,7,0,0,0,27,3,4,42.9,Matches
137,Neris,brBRA,DF,Vitória,32,1992,5.9,1,1,0,14,4,2,0,6,2,0,0,0,11,15,7,68.2,Matches
138,Kaiky Naves,brBRA,DF,Palmeiras,22,2002,0.2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0.0,Matches
139,Nathan,brBRA,DF,Internacional,23,2001,1.0,0,0,0,3,0,0,0,0,0,0,0,0,5,1,1,50.0,Matches
140,Natanael,brBRA,DF,Atlético Mineiro,23,2002,23.8,2,0,0,23,23,6,48,22,33,0,0,0,92,21,34,38.2,Matches
141,Kauã Moraes,brBRA,DF,Cruzeiro,18,2006,2.2,0,0,0,5,6,0,15,1,3,0,0,0,12,0,0,,Matches
142,Micael,brBRA,DF,Palmeiras,24,2000,14.4,4,0,0,27,2,0,2,9,17,0,0,0,51,39,15,72.2,Matches
143,Gabriel Mercado,arARG,DF,Internacional,37,1987,13.3,4,0,0,14,9,0,0,14,10,0,0,0,38,19,14,57.6,Matches
144,Ramon Menezes Roma,brBRA,DF,Sport Recife,29,1995,20.8,6,1,1,19,9,0,0,26,14,0,0,0,53,50,23,68.5,Matches
145,Nathan Mendes,brBRA,DF,RB Bragantino,22,2002,12.9,3,0,0,12,20,3,19,13,11,1,0,0,53,10,11,47.6,Matches
146,Mayke,brBRA,DF,Palmeiras,32,1992,2.3,1,0,0,10,2,1,11,0,4,0,0,0,6,1,5,16.7,Matches
147,Mayke,brBRA,DF,Santos,32,1992,9.1,3,0,0,12,6,0,20,9,12,0,0,0,35,9,13,40.9,Matches
148,Matheuzinho,brBRA,DF,Corinthians,24,2000,29.2,12,0,0,30,27,1,102,37,40,0,1,0,109,20,23,46.5,Matches
149,Gustavo Martins Santos,brBRA,DF,Grêmio,22,2002,14.7,4,0,0,22,2,1,2,11,18,0,0,0,58,41,21,66.1,Matches
150,Adriano Martins,brBRA,DF,Juventude,27,1997,4.0,1,0,0,3,1,1,0,6,3,0,0,0,12,10,12,45.5,Matches
151,Gustavo Marques,brBRA,DF,RB Bragantino,23,2001,10.0,2,0,0,13,9,0,1,14,12,0,1,0,29,29,16,64.4,Matches
152,Marlon,brBRA,DF,Grêmio,27,1997,30.7,8,0,0,38,43,1,155,36,47,0,1,0,133,16,23,41.0,Matches
153,Marlon,brBRA,DF,Cruzeiro,27,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
154,Zé Marcos,brBRA,DF,Vitória,26,1998,27.0,6,0,0,23,20,2,4,19,18,0,0,0,78,56,37,60.2,Matches
155,João Marcelo,brBRA,DF,Cruzeiro,24,2000,2.5,0,0,0,3,1,0,0,5,4,0,0,0,4,9,4,69.2,Matches
156,Fernando Marçal,brBRA,DF,Botafogo (RJ),35,1989,11.2,5,0,0,20,11,0,7,14,11,1,1,0,55,29,19,60.4,Matches
157,Manoel,brBRA,DF,Fluminense,34,1990,3.8,0,0,0,1,2,0,0,0,0,0,0,0,8,3,4,42.9,Matches
158,Eros Mancuso,arARG,DF,Fortaleza,25,1999,26.4,6,0,0,32,30,2,65,23,34,0,0,0,120,16,21,43.2,Matches
159,Gustavo Mancha,brBRA,DF,Fortaleza,20,2004,11.4,2,1,0,5,8,0,1,15,11,0,0,0,40,10,9,52.6,Matches
160,Léo Mana,brBRA,DF,Corinthians,20,2004,2.5,0,0,0,1,0,1,3,3,2,0,0,0,10,3,2,60.0,Matches
161,Maik,brBRA,DF,São Paulo,20,2005,6.7,3,0,0,10,7,0,23,7,13,0,0,0,24,4,7,36.4,Matches
162,Willian Machado,brBRA,DF,Ceará,28,1996,35.8,7,0,0,25,18,1,8,35,32,0,1,1,77,94,25,79.0,Matches
163,Lyanco,brBRA,DF,Atlético Mineiro,27,1997,15.7,10,2,2,29,21,2,1,37,18,0,1,0,106,34,19,64.2,Matches
164,David Luiz,brBRA,DF,Fortaleza,37,1987,4.4,2,0,0,7,2,0,0,5,4,0,0,0,15,15,4,78.9,Matches
165,Luisão,brBRA,DF,Santos,21,2003,4.9,2,0,0,3,4,0,2,3,3,0,0,0,10,4,6,40.0,Matches
166,João Lucas,brBRA,DF,Grêmio,26,1998,5.6,1,0,0,11,8,0,17,8,11,0,0,0,18,4,7,36.4,Matches
167,Ayrton Lucas,brBRA,DF,Flamengo,27,1997,13.7,5,0,0,23,20,0,38,9,26,0,1,0,61,22,16,57.9,Matches
168,David Loiola,brBRA,DF,Botafogo (RJ),22,2002,20.3,3,2,0,24,17,1,3,16,12,0,0,0,83,42,21,66.7,Matches
169,Mauricio Lemos,uyURU,DF,Vasco da Gama,29,1995,2.7,0,0,0,1,0,0,0,3,1,0,0,0,3,4,3,57.1,Matches
170,Leandrinho,brBRA,DF,Vasco da Gama,19,2005,0.6,0,0,0,0,2,0,1,0,0,0,0,0,5,0,0,,Matches
171,Benjamín Kuscevic,clCHI,DF,Fortaleza,28,1996,19.0,3,1,0,23,4,1,2,16,25,0,0,0,49,48,26,64.9,Matches
172,Gabriel Knesowitsch,brBRA,DF,Mirassol,21,2003,4.0,0,0,0,1,3,0,0,1,3,0,0,0,10,8,7,53.3,Matches
173,Khellven,brBRA,DF,Palmeiras,23,2001,10.8,1,0,0,26,9,0,31,7,10,0,0,0,29,6,9,40.0,Matches
174,Kevyson,brBRA,DF,Sport Recife,20,2004,3.0,3,0,0,8,1,0,11,5,6,0,0,0,12,2,4,33.3,Matches
175,Kevyson,brBRA,DF,Santos,20,2004,0.2,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,66.7,Matches
176,Kanu,brBRA,DF,Bahia,27,1997,5.7,0,1,0,4,6,0,0,6,6,0,0,0,18,7,8,46.7,Matches
177,Walter Kannemann,arARG,DF,Grêmio,33,1991,19.1,8,1,0,24,13,0,2,22,14,1,0,0,38,53,17,75.7,Matches
178,Kaiki,brBRA,DF,Cruzeiro,21,2003,33.3,10,0,0,64,32,1,87,42,75,0,1,0,149,51,46,52.6,Matches
179,Wanderson Junior,brBRA,DF,Flamengo,17,2007,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
180,Juninho,brBRA,DF,Internacional,29,1995,16.7,6,0,0,14,11,0,1,18,17,0,0,0,57,35,27,56.5,Matches
181,Luciano Juba,brBRA,DF,Bahia,25,1999,32.0,2,0,0,20,17,1,138,36,28,0,0,1,151,23,22,51.1,Matches
182,José,brBRA,DF,Cruzeiro,19,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
183,Jonathan,brBRA,DF,Cruzeiro,20,2004,8.9,1,1,0,17,3,1,2,11,9,0,0,0,27,9,7,56.3,Matches
184,Felipe Jonatan,brBRA,DF,Mirassol,26,1998,4.9,0,0,0,7,2,0,28,3,3,0,0,0,18,5,3,62.5,Matches
185,Maykon Jesus,brBRA,DF,Vitória,19,2005,8.5,1,0,0,16,9,0,33,6,8,0,0,0,25,9,8,52.9,Matches
186,Jemmes,brBRA,DF,Mirassol,24,2000,36.4,3,0,0,34,12,2,1,42,44,0,0,0,133,75,61,55.1,Matches
187,Jemerson,brBRA,DF,Grêmio,32,1992,8.6,3,0,0,14,3,0,0,9,12,0,0,0,17,22,11,66.7,Matches
188,Jamerson,brBRA,DF,Vitória,26,1998,11.4,0,0,0,10,7,0,66,12,19,0,0,0,60,12,11,52.2,Matches
189,Zé Ivaldo,brBRA,DF,Santos,27,1997,20.0,8,1,1,24,16,2,5,23,22,0,1,0,79,47,13,78.3,Matches
190,Isaac,brBRA,DF,Atlético Mineiro,20,2004,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
191,Ignácio,brBRA,DF,Fluminense,28,1996,12.7,2,1,0,24,17,0,0,15,15,1,0,0,33,28,21,57.1,Matches
192,Iago,brBRA,DF,Flamengo,19,2005,1.0,1,0,0,1,0,0,0,0,0,0,0,0,2,3,1,75.0,Matches
193,José Hurtado,ecECU,DF,RB Bragantino,23,2001,20.7,2,1,0,28,9,0,58,19,27,0,1,0,92,27,30,47.4,Matches
194,Vitor Hugo,brBRA,DF,Atlético Mineiro,33,1991,18.2,3,1,0,17,3,1,0,26,17,0,0,0,44,63,32,66.3,Matches
195,Victor Hugo,brBRA,DF,Sport Recife,16,2008,0.7,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,,Matches
196,Diogo Hereda,brBRA,DF,Sport Recife,26,1998,9.4,1,0,0,13,18,2,34,7,17,0,0,0,59,11,11,50.0,Matches
197,Pedro Henrique,brBRA,DF,RB Bragantino,29,1995,29.5,6,0,0,23,20,0,8,32,18,0,0,0,90,71,41,63.4,Matches
198,Paulo Henrique,brBRA,DF,Vasco da Gama,28,1996,27.7,11,1,1,57,29,1,112,34,57,0,1,0,165,29,20,59.2,Matches
199,Gustavo Henrique,brBRA,DF,Corinthians,31,1993,23.0,5,0,0,23,8,2,1,18,21,0,0,0,68,75,25,75.0,Matches
200,Lucas Halter,brBRA,DF,Vitória,24,2000,32.3,8,1,1,24,9,1,2,16,28,0,0,0,86,57,40,58.8,Matches
201,Luiz Gustavo,brBRA,DF,Vasco da Gama,18,2006,3.2,3,0,0,4,2,0,1,2,2,0,0,0,8,5,4,55.6,Matches
202,Guilherme,brBRA,DF,RB Bragantino,22,2002,7.1,2,0,0,7,4,0,27,4,10,0,0,1,25,9,7,56.3,Matches
203,Guga,brBRA,DF,Fluminense,26,1998,11.0,1,0,0,6,12,0,20,7,19,0,0,0,52,17,14,54.8,Matches
204,Gustavo Gómez,pyPAR,DF,Palmeiras,31,1993,25.7,7,0,0,33,15,11,21,35,27,0,0,0,72,87,55,61.3,Matches
205,Fredi Gomes,brBRA,DF,Bahia,18,2006,1.0,0,0,0,1,1,0,0,2,1,0,0,0,2,0,2,0.0,Matches
206,Johnny Góes,brBRA,DF,Flamengo,17,2007,1.0,0,0,0,3,1,0,0,2,0,0,0,0,3,2,0,100.0,Matches
207,Leonardo Godoy,arARG,DF,Santos,29,1995,4.6,1,0,0,8,5,0,8,1,4,0,0,0,8,5,2,71.4,Matches
208,Gilberto,brBRA,DF,Bahia,31,1993,19.7,6,0,0,19,11,1,39,20,35,0,0,0,94,21,23,47.7,Matches
209,Gil,brBRA,DF,Santos,37,1987,8.0,3,0,0,7,1,0,0,7,9,0,0,0,27,15,5,75.0,Matches
210,Agustín Giay,arARG,DF,Palmeiras,21,2004,22.0,1,1,0,37,35,1,39,14,43,0,1,0,90,23,15,60.5,Matches
211,Lucas Gazal,brBRA,DF,Fortaleza,25,1999,6.1,2,0,0,9,1,0,3,8,5,0,0,0,23,23,5,82.1,Matches
212,Mateo Gamarra,pyPAR,DF,Cruzeiro,24,2000,1.7,0,0,0,2,0,0,0,4,5,0,1,0,8,3,1,75.0,Matches
213,Victor Gabriel,brBRA,DF,Internacional,20,2004,12.3,1,0,0,22,4,0,3,18,20,0,0,0,36,38,16,70.4,Matches
214,Gabriel,brBRA,DF,Bahia,23,2001,10.5,4,0,0,24,8,1,0,12,12,0,0,0,28,25,20,55.6,Matches
215,Gabriel Fuentes,coCOL,DF,Fluminense,27,1997,9.2,2,0,0,14,5,0,36,11,12,0,0,0,25,17,5,77.3,Matches
216,Adonis Frías,arARG,DF,Santos,26,1998,12.4,2,0,0,18,6,0,2,17,10,0,0,0,36,27,13,67.5,Matches
217,Juan Freytes,arARG,DF,Fluminense,25,2000,32.5,8,1,0,23,18,3,8,16,15,1,0,0,145,59,51,53.6,Matches
218,Lucas Freitas,brBRA,DF,Vasco da Gama,24,2001,17.2,4,0,0,18,12,0,6,19,9,1,1,0,56,22,22,50.0,Matches
219,Luan Freitas,brBRA,DF,Juventude,24,2001,12.5,0,0,0,13,3,0,0,10,16,0,0,0,36,14,7,66.7,Matches
220,Alan Franco,arARG,DF,São Paulo,28,1996,25.4,7,0,0,33,12,2,1,25,23,0,2,0,135,41,26,61.2,Matches
221,André Filipinho,brBRA,DF,Juventude,28,1997,3.4,1,0,0,11,1,2,9,5,1,0,1,0,14,4,2,66.7,Matches
222,Nahuel Ferraresi,veVEN,DF,São Paulo,26,1998,20.0,3,0,0,34,29,1,27,28,51,0,0,2,104,31,20,60.8,Matches
223,Fagner,brBRA,DF,Cruzeiro,35,1989,9.2,1,0,0,12,8,1,50,12,10,0,0,0,30,8,8,50.0,Matches
224,Ewerton,brBRA,DF,Juventude,24,2000,12.8,2,0,0,8,12,3,36,21,16,0,0,0,38,9,11,45.0,Matches
225,Lucas Esteves,brBRA,DF,Grêmio,24,2000,7.5,1,0,0,9,3,0,26,10,10,0,1,0,27,14,2,87.5,Matches
226,Gonzalo Escobar,arARG,DF,Santos,27,1997,22.3,8,1,1,36,19,1,64,39,57,0,2,0,111,20,34,37.0,Matches
227,Emerson,brBRA,DF,Flamengo,26,1999,13.9,1,0,0,18,25,0,47,20,18,0,0,0,48,31,22,58.5,Matches
228,Rodrigo Ely,brBRA,DF,Grêmio,31,1993,0.4,0,0,0,1,0,0,0,1,1,0,0,0,1,2,2,50.0,Matches
229,EDU,brBRA,DF,Vitória,24,2000,11.9,2,0,0,11,7,0,1,11,19,0,0,0,40,26,24,52.0,Matches
230,Eder,brBRA,DF,Ceará,29,1995,3.0,0,0,0,3,1,0,0,0,0,0,0,0,6,10,1,90.9,Matches
231,David Duarte,brBRA,DF,Bahia,30,1995,24.5,4,0,0,20,8,2,0,14,11,0,0,0,59,75,28,72.8,Matches
232,Alexis Duarte,pyPAR,DF,Santos,24,2000,4.5,1,0,0,7,4,0,4,3,3,0,0,0,16,9,6,60.0,Matches
233,Mailton dos Santos,brBRA,DF,São Paulo,26,1998,4.3,1,0,0,9,10,0,32,4,2,0,0,0,16,3,6,33.3,Matches
234,Enzo Díaz,arARG,DF,São Paulo,29,1995,20.9,10,0,0,54,37,1,110,19,49,0,4,0,93,32,24,57.1,Matches
235,Danilo,brBRA,DF,Flamengo,33,1991,15.7,2,1,0,15,6,0,15,14,8,0,0,0,70,20,20,50.0,Matches
236,Lucas Cunha,brBRA,DF,Sport Recife,28,1997,4.8,1,0,0,5,2,0,0,7,2,0,0,0,9,5,7,41.7,Matches
237,Jair Cunha,brBRA,DF,Botafogo (RJ),19,2005,11.0,0,0,0,4,8,0,2,11,11,0,0,0,38,21,5,80.8,Matches
238,Carlos Cuesta,coCOL,DF,Vasco da Gama,25,1999,12.1,3,0,0,17,3,1,8,13,12,0,1,0,30,17,13,56.7,Matches
239,Cleiton,brBRA,DF,Flamengo,21,2003,0.9,0,0,0,1,2,0,0,2,2,0,0,0,1,1,0,100.0,Matches
240,Clayton,brBRA,DF,Internacional,24,2000,8.5,2,0,0,14,1,0,2,10,6,0,0,0,26,18,19,48.6,Matches
241,Claudinho,brBRA,DF,Vitória,24,2000,10.0,5,0,0,10,8,0,46,10,10,0,0,0,45,7,8,46.7,Matches
242,Cipriano,brBRA,DF,Juventude,22,2002,2.1,1,1,0,3,0,0,0,4,1,0,0,0,6,4,3,57.1,Matches
243,Chico,brBRA,DF,Sport Recife,26,1998,11.8,1,0,0,9,5,0,1,12,11,0,1,0,42,27,22,55.1,Matches
244,Julio Cesar,brBRA,DF,Fluminense,18,2006,2.0,0,0,0,2,7,0,8,4,2,0,0,0,6,1,3,25.0,Matches
245,Murilo Cerqueira,brBRA,DF,Palmeiras,27,1997,18.4,6,0,0,29,6,0,10,17,18,0,1,0,69,57,22,72.2,Matches
